test,cluster genes,cluster gene ids,variable factors,gsea pval,bootstrapping pval,ora pval
cluster_54_UP - VCI_diameter,48,ENSG00000050767|COL23A1 ENSG00000051128|HOMER3 ENSG00000058866|DGKG ENSG00000064989|CALCRL ENSG00000065911|MTHFD2 ENSG00000101188|NTSR1 ENSG00000103174|NAGPA ENSG00000103569|AQP9 ENSG00000103966|EHD4 ENSG00000108861|DUSP3 ENSG00000111846|GCNT2 ENSG00000112053|SLC26A8 ENSG00000112299|VNN1 ENSG00000117009|KMO ENSG00000117115|PADI2 ENSG00000123342|MMP19 ENSG00000136689|IL1RN ENSG00000137474|MYO7A ENSG00000137834|SMAD6 ENSG00000138411|HECW2 ENSG00000138413|IDH1 ENSG00000140157|NIPA2 ENSG00000145545|SRD5A1 ENSG00000145685|LHFPL2 ENSG00000146733|PSPH ENSG00000154736|ADAMTS5 ENSG00000156414|TDRD9 ENSG00000156735|BAG4 ENSG00000157637|SLC38A10 ENSG00000158488|CD1E ENSG00000158623|COPG2 ENSG00000159200|RCAN1 ENSG00000162433|AK4 ENSG00000163683|SMIM14 ENSG00000163823|CCR1 ENSG00000170439|METTL7B ENSG00000176170|SPHK1 ENSG00000185339|TCN2 ENSG00000186352|ANKRD37 ENSG00000188404|SELL ENSG00000196189|SEMA4A ENSG00000213639|PPP1CB ENSG00000225342|LRRK2-DT ENSG00000234336|JAZF1-AS1 ENSG00000259319|JDP2-AS1 ENSG00000266208|GJD3-AS1 ENSG00000284977|ENSG00000284977 ENSG00000287091|ENSG00000287091,NA,0.780163479,0.536,
cluster_54_UP - RA_area,48,ENSG00000050767|COL23A1 ENSG00000051128|HOMER3 ENSG00000058866|DGKG ENSG00000064989|CALCRL ENSG00000065911|MTHFD2 ENSG00000101188|NTSR1 ENSG00000103174|NAGPA ENSG00000103569|AQP9 ENSG00000103966|EHD4 ENSG00000108861|DUSP3 ENSG00000111846|GCNT2 ENSG00000112053|SLC26A8 ENSG00000112299|VNN1 ENSG00000117009|KMO ENSG00000117115|PADI2 ENSG00000123342|MMP19 ENSG00000136689|IL1RN ENSG00000137474|MYO7A ENSG00000137834|SMAD6 ENSG00000138411|HECW2 ENSG00000138413|IDH1 ENSG00000140157|NIPA2 ENSG00000145545|SRD5A1 ENSG00000145685|LHFPL2 ENSG00000146733|PSPH ENSG00000154736|ADAMTS5 ENSG00000156414|TDRD9 ENSG00000156735|BAG4 ENSG00000157637|SLC38A10 ENSG00000158488|CD1E ENSG00000158623|COPG2 ENSG00000159200|RCAN1 ENSG00000162433|AK4 ENSG00000163683|SMIM14 ENSG00000163823|CCR1 ENSG00000170439|METTL7B ENSG00000176170|SPHK1 ENSG00000185339|TCN2 ENSG00000186352|ANKRD37 ENSG00000188404|SELL ENSG00000196189|SEMA4A ENSG00000213639|PPP1CB ENSG00000225342|LRRK2-DT ENSG00000234336|JAZF1-AS1 ENSG00000259319|JDP2-AS1 ENSG00000266208|GJD3-AS1 ENSG00000284977|ENSG00000284977 ENSG00000287091|ENSG00000287091,NA,0.917484736,0.766,
cluster_54_UP - AT,48,ENSG00000050767|COL23A1 ENSG00000051128|HOMER3 ENSG00000058866|DGKG ENSG00000064989|CALCRL ENSG00000065911|MTHFD2 ENSG00000101188|NTSR1 ENSG00000103174|NAGPA ENSG00000103569|AQP9 ENSG00000103966|EHD4 ENSG00000108861|DUSP3 ENSG00000111846|GCNT2 ENSG00000112053|SLC26A8 ENSG00000112299|VNN1 ENSG00000117009|KMO ENSG00000117115|PADI2 ENSG00000123342|MMP19 ENSG00000136689|IL1RN ENSG00000137474|MYO7A ENSG00000137834|SMAD6 ENSG00000138411|HECW2 ENSG00000138413|IDH1 ENSG00000140157|NIPA2 ENSG00000145545|SRD5A1 ENSG00000145685|LHFPL2 ENSG00000146733|PSPH ENSG00000154736|ADAMTS5 ENSG00000156414|TDRD9 ENSG00000156735|BAG4 ENSG00000157637|SLC38A10 ENSG00000158488|CD1E ENSG00000158623|COPG2 ENSG00000159200|RCAN1 ENSG00000162433|AK4 ENSG00000163683|SMIM14 ENSG00000163823|CCR1 ENSG00000170439|METTL7B ENSG00000176170|SPHK1 ENSG00000185339|TCN2 ENSG00000186352|ANKRD37 ENSG00000188404|SELL ENSG00000196189|SEMA4A ENSG00000213639|PPP1CB ENSG00000225342|LRRK2-DT ENSG00000234336|JAZF1-AS1 ENSG00000259319|JDP2-AS1 ENSG00000266208|GJD3-AS1 ENSG00000284977|ENSG00000284977 ENSG00000287091|ENSG00000287091,NA,1,0.123,
cluster_54_UP - AT_ET,48,ENSG00000050767|COL23A1 ENSG00000051128|HOMER3 ENSG00000058866|DGKG ENSG00000064989|CALCRL ENSG00000065911|MTHFD2 ENSG00000101188|NTSR1 ENSG00000103174|NAGPA ENSG00000103569|AQP9 ENSG00000103966|EHD4 ENSG00000108861|DUSP3 ENSG00000111846|GCNT2 ENSG00000112053|SLC26A8 ENSG00000112299|VNN1 ENSG00000117009|KMO ENSG00000117115|PADI2 ENSG00000123342|MMP19 ENSG00000136689|IL1RN ENSG00000137474|MYO7A ENSG00000137834|SMAD6 ENSG00000138411|HECW2 ENSG00000138413|IDH1 ENSG00000140157|NIPA2 ENSG00000145545|SRD5A1 ENSG00000145685|LHFPL2 ENSG00000146733|PSPH ENSG00000154736|ADAMTS5 ENSG00000156414|TDRD9 ENSG00000156735|BAG4 ENSG00000157637|SLC38A10 ENSG00000158488|CD1E ENSG00000158623|COPG2 ENSG00000159200|RCAN1 ENSG00000162433|AK4 ENSG00000163683|SMIM14 ENSG00000163823|CCR1 ENSG00000170439|METTL7B ENSG00000176170|SPHK1 ENSG00000185339|TCN2 ENSG00000186352|ANKRD37 ENSG00000188404|SELL ENSG00000196189|SEMA4A ENSG00000213639|PPP1CB ENSG00000225342|LRRK2-DT ENSG00000234336|JAZF1-AS1 ENSG00000259319|JDP2-AS1 ENSG00000266208|GJD3-AS1 ENSG00000284977|ENSG00000284977 ENSG00000287091|ENSG00000287091,NA,0.988635958,0.076,
cluster_54_UP - Paradoxe_Septumbewegung,48,ENSG00000050767|COL23A1 ENSG00000051128|HOMER3 ENSG00000058866|DGKG ENSG00000064989|CALCRL ENSG00000065911|MTHFD2 ENSG00000101188|NTSR1 ENSG00000103174|NAGPA ENSG00000103569|AQP9 ENSG00000103966|EHD4 ENSG00000108861|DUSP3 ENSG00000111846|GCNT2 ENSG00000112053|SLC26A8 ENSG00000112299|VNN1 ENSG00000117009|KMO ENSG00000117115|PADI2 ENSG00000123342|MMP19 ENSG00000136689|IL1RN ENSG00000137474|MYO7A ENSG00000137834|SMAD6 ENSG00000138411|HECW2 ENSG00000138413|IDH1 ENSG00000140157|NIPA2 ENSG00000145545|SRD5A1 ENSG00000145685|LHFPL2 ENSG00000146733|PSPH ENSG00000154736|ADAMTS5 ENSG00000156414|TDRD9 ENSG00000156735|BAG4 ENSG00000157637|SLC38A10 ENSG00000158488|CD1E ENSG00000158623|COPG2 ENSG00000159200|RCAN1 ENSG00000162433|AK4 ENSG00000163683|SMIM14 ENSG00000163823|CCR1 ENSG00000170439|METTL7B ENSG00000176170|SPHK1 ENSG00000185339|TCN2 ENSG00000186352|ANKRD37 ENSG00000188404|SELL ENSG00000196189|SEMA4A ENSG00000213639|PPP1CB ENSG00000225342|LRRK2-DT ENSG00000234336|JAZF1-AS1 ENSG00000259319|JDP2-AS1 ENSG00000266208|GJD3-AS1 ENSG00000284977|ENSG00000284977 ENSG00000287091|ENSG00000287091,NA,1,0.28,
cluster_54_UP - Perikarderguss,48,ENSG00000050767|COL23A1 ENSG00000051128|HOMER3 ENSG00000058866|DGKG ENSG00000064989|CALCRL ENSG00000065911|MTHFD2 ENSG00000101188|NTSR1 ENSG00000103174|NAGPA ENSG00000103569|AQP9 ENSG00000103966|EHD4 ENSG00000108861|DUSP3 ENSG00000111846|GCNT2 ENSG00000112053|SLC26A8 ENSG00000112299|VNN1 ENSG00000117009|KMO ENSG00000117115|PADI2 ENSG00000123342|MMP19 ENSG00000136689|IL1RN ENSG00000137474|MYO7A ENSG00000137834|SMAD6 ENSG00000138411|HECW2 ENSG00000138413|IDH1 ENSG00000140157|NIPA2 ENSG00000145545|SRD5A1 ENSG00000145685|LHFPL2 ENSG00000146733|PSPH ENSG00000154736|ADAMTS5 ENSG00000156414|TDRD9 ENSG00000156735|BAG4 ENSG00000157637|SLC38A10 ENSG00000158488|CD1E ENSG00000158623|COPG2 ENSG00000159200|RCAN1 ENSG00000162433|AK4 ENSG00000163683|SMIM14 ENSG00000163823|CCR1 ENSG00000170439|METTL7B ENSG00000176170|SPHK1 ENSG00000185339|TCN2 ENSG00000186352|ANKRD37 ENSG00000188404|SELL ENSG00000196189|SEMA4A ENSG00000213639|PPP1CB ENSG00000225342|LRRK2-DT ENSG00000234336|JAZF1-AS1 ENSG00000259319|JDP2-AS1 ENSG00000266208|GJD3-AS1 ENSG00000284977|ENSG00000284977 ENSG00000287091|ENSG00000287091,NA,0.617710185,0.525,
cluster_54_UP - SMW,48,ENSG00000050767|COL23A1 ENSG00000051128|HOMER3 ENSG00000058866|DGKG ENSG00000064989|CALCRL ENSG00000065911|MTHFD2 ENSG00000101188|NTSR1 ENSG00000103174|NAGPA ENSG00000103569|AQP9 ENSG00000103966|EHD4 ENSG00000108861|DUSP3 ENSG00000111846|GCNT2 ENSG00000112053|SLC26A8 ENSG00000112299|VNN1 ENSG00000117009|KMO ENSG00000117115|PADI2 ENSG00000123342|MMP19 ENSG00000136689|IL1RN ENSG00000137474|MYO7A ENSG00000137834|SMAD6 ENSG00000138411|HECW2 ENSG00000138413|IDH1 ENSG00000140157|NIPA2 ENSG00000145545|SRD5A1 ENSG00000145685|LHFPL2 ENSG00000146733|PSPH ENSG00000154736|ADAMTS5 ENSG00000156414|TDRD9 ENSG00000156735|BAG4 ENSG00000157637|SLC38A10 ENSG00000158488|CD1E ENSG00000158623|COPG2 ENSG00000159200|RCAN1 ENSG00000162433|AK4 ENSG00000163683|SMIM14 ENSG00000163823|CCR1 ENSG00000170439|METTL7B ENSG00000176170|SPHK1 ENSG00000185339|TCN2 ENSG00000186352|ANKRD37 ENSG00000188404|SELL ENSG00000196189|SEMA4A ENSG00000213639|PPP1CB ENSG00000225342|LRRK2-DT ENSG00000234336|JAZF1-AS1 ENSG00000259319|JDP2-AS1 ENSG00000266208|GJD3-AS1 ENSG00000284977|ENSG00000284977 ENSG00000287091|ENSG00000287091,NA,1,0.076,
cluster_54_UP - FEV1,48,ENSG00000050767|COL23A1 ENSG00000051128|HOMER3 ENSG00000058866|DGKG ENSG00000064989|CALCRL ENSG00000065911|MTHFD2 ENSG00000101188|NTSR1 ENSG00000103174|NAGPA ENSG00000103569|AQP9 ENSG00000103966|EHD4 ENSG00000108861|DUSP3 ENSG00000111846|GCNT2 ENSG00000112053|SLC26A8 ENSG00000112299|VNN1 ENSG00000117009|KMO ENSG00000117115|PADI2 ENSG00000123342|MMP19 ENSG00000136689|IL1RN ENSG00000137474|MYO7A ENSG00000137834|SMAD6 ENSG00000138411|HECW2 ENSG00000138413|IDH1 ENSG00000140157|NIPA2 ENSG00000145545|SRD5A1 ENSG00000145685|LHFPL2 ENSG00000146733|PSPH ENSG00000154736|ADAMTS5 ENSG00000156414|TDRD9 ENSG00000156735|BAG4 ENSG00000157637|SLC38A10 ENSG00000158488|CD1E ENSG00000158623|COPG2 ENSG00000159200|RCAN1 ENSG00000162433|AK4 ENSG00000163683|SMIM14 ENSG00000163823|CCR1 ENSG00000170439|METTL7B ENSG00000176170|SPHK1 ENSG00000185339|TCN2 ENSG00000186352|ANKRD37 ENSG00000188404|SELL ENSG00000196189|SEMA4A ENSG00000213639|PPP1CB ENSG00000225342|LRRK2-DT ENSG00000234336|JAZF1-AS1 ENSG00000259319|JDP2-AS1 ENSG00000266208|GJD3-AS1 ENSG00000284977|ENSG00000284977 ENSG00000287091|ENSG00000287091,NA,0.999354057,0.117,
cluster_54_UP - Tiffeneau Index FEV1/VC,48,ENSG00000050767|COL23A1 ENSG00000051128|HOMER3 ENSG00000058866|DGKG ENSG00000064989|CALCRL ENSG00000065911|MTHFD2 ENSG00000101188|NTSR1 ENSG00000103174|NAGPA ENSG00000103569|AQP9 ENSG00000103966|EHD4 ENSG00000108861|DUSP3 ENSG00000111846|GCNT2 ENSG00000112053|SLC26A8 ENSG00000112299|VNN1 ENSG00000117009|KMO ENSG00000117115|PADI2 ENSG00000123342|MMP19 ENSG00000136689|IL1RN ENSG00000137474|MYO7A ENSG00000137834|SMAD6 ENSG00000138411|HECW2 ENSG00000138413|IDH1 ENSG00000140157|NIPA2 ENSG00000145545|SRD5A1 ENSG00000145685|LHFPL2 ENSG00000146733|PSPH ENSG00000154736|ADAMTS5 ENSG00000156414|TDRD9 ENSG00000156735|BAG4 ENSG00000157637|SLC38A10 ENSG00000158488|CD1E ENSG00000158623|COPG2 ENSG00000159200|RCAN1 ENSG00000162433|AK4 ENSG00000163683|SMIM14 ENSG00000163823|CCR1 ENSG00000170439|METTL7B ENSG00000176170|SPHK1 ENSG00000185339|TCN2 ENSG00000186352|ANKRD37 ENSG00000188404|SELL ENSG00000196189|SEMA4A ENSG00000213639|PPP1CB ENSG00000225342|LRRK2-DT ENSG00000234336|JAZF1-AS1 ENSG00000259319|JDP2-AS1 ENSG00000266208|GJD3-AS1 ENSG00000284977|ENSG00000284977 ENSG00000287091|ENSG00000287091,NA,0.97480022,0.562,
cluster_54_UP - DLCO,48,ENSG00000050767|COL23A1 ENSG00000051128|HOMER3 ENSG00000058866|DGKG ENSG00000064989|CALCRL ENSG00000065911|MTHFD2 ENSG00000101188|NTSR1 ENSG00000103174|NAGPA ENSG00000103569|AQP9 ENSG00000103966|EHD4 ENSG00000108861|DUSP3 ENSG00000111846|GCNT2 ENSG00000112053|SLC26A8 ENSG00000112299|VNN1 ENSG00000117009|KMO ENSG00000117115|PADI2 ENSG00000123342|MMP19 ENSG00000136689|IL1RN ENSG00000137474|MYO7A ENSG00000137834|SMAD6 ENSG00000138411|HECW2 ENSG00000138413|IDH1 ENSG00000140157|NIPA2 ENSG00000145545|SRD5A1 ENSG00000145685|LHFPL2 ENSG00000146733|PSPH ENSG00000154736|ADAMTS5 ENSG00000156414|TDRD9 ENSG00000156735|BAG4 ENSG00000157637|SLC38A10 ENSG00000158488|CD1E ENSG00000158623|COPG2 ENSG00000159200|RCAN1 ENSG00000162433|AK4 ENSG00000163683|SMIM14 ENSG00000163823|CCR1 ENSG00000170439|METTL7B ENSG00000176170|SPHK1 ENSG00000185339|TCN2 ENSG00000186352|ANKRD37 ENSG00000188404|SELL ENSG00000196189|SEMA4A ENSG00000213639|PPP1CB ENSG00000225342|LRRK2-DT ENSG00000234336|JAZF1-AS1 ENSG00000259319|JDP2-AS1 ENSG00000266208|GJD3-AS1 ENSG00000284977|ENSG00000284977 ENSG00000287091|ENSG00000287091,NA,0.742293207,0,
cluster_54_UP - Kreatinin,48,ENSG00000050767|COL23A1 ENSG00000051128|HOMER3 ENSG00000058866|DGKG ENSG00000064989|CALCRL ENSG00000065911|MTHFD2 ENSG00000101188|NTSR1 ENSG00000103174|NAGPA ENSG00000103569|AQP9 ENSG00000103966|EHD4 ENSG00000108861|DUSP3 ENSG00000111846|GCNT2 ENSG00000112053|SLC26A8 ENSG00000112299|VNN1 ENSG00000117009|KMO ENSG00000117115|PADI2 ENSG00000123342|MMP19 ENSG00000136689|IL1RN ENSG00000137474|MYO7A ENSG00000137834|SMAD6 ENSG00000138411|HECW2 ENSG00000138413|IDH1 ENSG00000140157|NIPA2 ENSG00000145545|SRD5A1 ENSG00000145685|LHFPL2 ENSG00000146733|PSPH ENSG00000154736|ADAMTS5 ENSG00000156414|TDRD9 ENSG00000156735|BAG4 ENSG00000157637|SLC38A10 ENSG00000158488|CD1E ENSG00000158623|COPG2 ENSG00000159200|RCAN1 ENSG00000162433|AK4 ENSG00000163683|SMIM14 ENSG00000163823|CCR1 ENSG00000170439|METTL7B ENSG00000176170|SPHK1 ENSG00000185339|TCN2 ENSG00000186352|ANKRD37 ENSG00000188404|SELL ENSG00000196189|SEMA4A ENSG00000213639|PPP1CB ENSG00000225342|LRRK2-DT ENSG00000234336|JAZF1-AS1 ENSG00000259319|JDP2-AS1 ENSG00000266208|GJD3-AS1 ENSG00000284977|ENSG00000284977 ENSG00000287091|ENSG00000287091,NA,1,0.277,
cluster_54_UP - eGFR,48,ENSG00000050767|COL23A1 ENSG00000051128|HOMER3 ENSG00000058866|DGKG ENSG00000064989|CALCRL ENSG00000065911|MTHFD2 ENSG00000101188|NTSR1 ENSG00000103174|NAGPA ENSG00000103569|AQP9 ENSG00000103966|EHD4 ENSG00000108861|DUSP3 ENSG00000111846|GCNT2 ENSG00000112053|SLC26A8 ENSG00000112299|VNN1 ENSG00000117009|KMO ENSG00000117115|PADI2 ENSG00000123342|MMP19 ENSG00000136689|IL1RN ENSG00000137474|MYO7A ENSG00000137834|SMAD6 ENSG00000138411|HECW2 ENSG00000138413|IDH1 ENSG00000140157|NIPA2 ENSG00000145545|SRD5A1 ENSG00000145685|LHFPL2 ENSG00000146733|PSPH ENSG00000154736|ADAMTS5 ENSG00000156414|TDRD9 ENSG00000156735|BAG4 ENSG00000157637|SLC38A10 ENSG00000158488|CD1E ENSG00000158623|COPG2 ENSG00000159200|RCAN1 ENSG00000162433|AK4 ENSG00000163683|SMIM14 ENSG00000163823|CCR1 ENSG00000170439|METTL7B ENSG00000176170|SPHK1 ENSG00000185339|TCN2 ENSG00000186352|ANKRD37 ENSG00000188404|SELL ENSG00000196189|SEMA4A ENSG00000213639|PPP1CB ENSG00000225342|LRRK2-DT ENSG00000234336|JAZF1-AS1 ENSG00000259319|JDP2-AS1 ENSG00000266208|GJD3-AS1 ENSG00000284977|ENSG00000284977 ENSG00000287091|ENSG00000287091,NA,0.860918665,0.073,
cluster_55_UP - condition/healthy,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,3,-,0.528,0.567172735
cluster_55_UP - condition/pah,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,3,-,0.804,0.827445305
cluster_55_UP - condition/ph-lung,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,3,-,0.41,0.412148821
cluster_55_UP - gender/F,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,2,-,0.822,0.817397809
cluster_55_UP - gender/M,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,2,-,0.368,0.370155442
cluster_55_UP - age,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.99473483,0.496,
cluster_55_UP - height,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.179,
cluster_55_UP - weight,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.835399738,0.147,
cluster_55_UP - BNP,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.935165808,0.737,
cluster_55_UP - NYHA,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.117,
cluster_55_UP - heart rate,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.963398921,0.912,
cluster_55_UP - mPAP,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.334,
cluster_55_UP - PAWP,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.831925637,0.138,
cluster_55_UP - CVP,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.911515792,0.88,
cluster_55_UP - HZV_Fick,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.33,
cluster_55_UP - HZV_Thermodil,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.762,
cluster_55_UP - PVR,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.685,
cluster_55_UP - Cardiac Index,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.990643244,0.289,
cluster_55_UP - Rrsys,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.871203915,0.439,
cluster_55_UP - PA_systolic,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.793,
cluster_55_UP - PA_diastolic,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.082,
cluster_55_UP - ven_SO2,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.964699766,0.273,
cluster_55_UP - AVDO2,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.94,
cluster_55_UP - TAPSE,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.963744428,0.044,
cluster_55_UP - RVEDD,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.791258398,0.249,
cluster_55_UP - S,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.005,
cluster_55_UP - sPAP excl. ZVD,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.83,
cluster_55_UP - ZVD,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.976766499,0.968,
cluster_55_UP - VCI_diameter,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.722960731,0.341,
cluster_55_UP - RA_area,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.88109554,0.131,
cluster_55_UP - AT,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.942,
cluster_55_UP - AT_ET,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.212,
cluster_55_UP - Paradoxe_Septumbewegung,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.768,
cluster_55_UP - Perikarderguss,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.681,
cluster_55_UP - SMW,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.887773789,0.002,
cluster_55_UP - FEV1,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.083,
cluster_55_UP - Tiffeneau Index FEV1/VC,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.959962761,0.404,
cluster_55_UP - DLCO,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.002,
cluster_55_UP - Kreatinin,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,1,0.588,
cluster_55_UP - eGFR,5,ENSG00000183281|PLGLB1 ENSG00000183648|NDUFB1 ENSG00000184056|VPS33B ENSG00000260257|ENSG00000260257 ENSG00000268205|ENSG00000268205,NA,0.847079449,0.584,
cluster_56_UP - condition/healthy,3,ENSG00000110455|ACCS ENSG00000156886|ITGAD ENSG00000160305|DIP2A,3,-,0.249,0.253527793
cluster_56_UP - condition/pah,3,ENSG00000110455|ACCS ENSG00000156886|ITGAD ENSG00000160305|DIP2A,3,-,0.769,0.775396604
cluster_56_UP - condition/ph-lung,3,ENSG00000110455|ACCS ENSG00000156886|ITGAD ENSG00000160305|DIP2A,3,-,0.78,0.775396604
cluster_56_UP - gender/F,3,ENSG00000110455|ACCS ENSG00000156886|ITGAD ENSG00000160305|DIP2A,2,-,0.697,0.689165821
cluster_56_UP - gender/M,3,ENSG00000110455|ACCS ENSG00000156886|ITGAD ENSG00000160305|DIP2A,2,-,0.565,0.552280371
cluster_56_UP - age,3,ENSG00000110455|ACCS ENSG00000156886|ITGAD ENSG00000160305|DIP2A,NA,0.960760498,0.126,
cluster_56_UP - height,3,ENSG00000110455|ACCS ENSG00000156886|ITGAD ENSG00000160305|DIP2A,NA,0.985339102,0.597,
